timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,13.9,14,Two-Stage Op-Amp Configuration,-60.5829,73.1,-0.0116,288.7223,1.0914
2048,27.7,18,Two-Stage Op-Amp Configuration,-90.9435,56.9,-0.0102,3768.1854,1.0936
3072,41.5,18,Two-Stage Op-Amp Configuration,-17.7638,56.9,-0.0127,31.1773,1.0911
4096,55.5,28,Two-Stage Op-Amp Configuration,-13.1378,36.6,-0.0146,109.9710,1.0894
5120,69.4,22,Two-Stage Op-Amp Configuration,-23.1455,46.5,-0.0165,165.1564,1.0886
6144,83.5,24,Two-Stage Op-Amp Configuration,-41.1329,42.7,-0.0103,1416.3620,1.0850
7168,97.5,17,Two-Stage Op-Amp Configuration,-64.4564,60.2,-0.0219,936.9834,1.0852
8192,111.4,19,Two-Stage Op-Amp Configuration,-133.9210,53.9,-0.0134,5376.1552,1.0727
9216,125.5,19,Two-Stage Op-Amp Configuration,-28.5116,53.9,-0.0180,128.7838,1.0830
10240,139.4,19,Two-Stage Op-Amp Configuration,-32.3299,53.9,-0.0129,187.6147,1.0770
11264,153.5,16,Two-Stage Op-Amp Configuration,-124.2193,64.0,-0.0181,6416.7814,1.0719
12288,168.4,14,Two-Stage Op-Amp Configuration,-94.3312,73.1,-0.0109,815.2945,1.0590
13312,183.0,24,Two-Stage Op-Amp Configuration,-13.6768,42.7,-0.0151,104.8564,1.0710
14336,196.5,24,Two-Stage Op-Amp Configuration,-9.8401,42.7,-0.0177,76.7594,1.0744
15360,210.7,22,Two-Stage Op-Amp Configuration,-19.6120,46.5,-0.0161,187.7861,1.0558
16384,224.1,19,Two-Stage Op-Amp Configuration,-87.3885,53.9,-0.0139,1833.2858,1.0575
17408,237.2,23,Two-Stage Op-Amp Configuration,-40.8221,44.5,-0.0150,541.6400,1.0545
18432,250.3,35,Two-Stage Op-Amp Configuration,-1.8256,29.3,-0.0143,48.8405,1.0683
19456,263.5,31,Two-Stage Op-Amp Configuration,-14.8394,33.0,-0.0141,378.9158,1.0601
20480,276.7,33,Two-Stage Op-Amp Configuration,-3.1570,31.0,-0.0150,35.2343,1.0616
21504,289.7,25,Two-Stage Op-Amp Configuration,-8.1209,41.0,-0.0163,51.7704,1.0494
22528,303.0,24,Two-Stage Op-Amp Configuration,-29.2310,42.7,-0.0129,253.4695,1.0234
23552,316.5,30,Two-Stage Op-Amp Configuration,-1.5295,34.1,-0.0160,21.8486,1.0423
24576,330.3,30,Two-Stage Op-Amp Configuration,-58.2408,34.1,-0.0076,3900.0337,1.0319
25600,344.2,25,Two-Stage Op-Amp Configuration,-69.4330,41.0,0.0006,3804.8570,1.0117
26624,357.7,27,Two-Stage Op-Amp Configuration,-16.4224,37.9,-0.0162,184.6132,1.0223
27648,371.0,24,Two-Stage Op-Amp Configuration,-19.9200,42.7,-0.0169,145.3737,1.0119
28672,384.3,31,Two-Stage Op-Amp Configuration,-62.9437,33.0,-0.0153,3814.6095,1.0298
29696,397.7,31,Two-Stage Op-Amp Configuration,-48.0723,33.0,-0.0110,2839.2842,1.0266
30720,410.9,29,Two-Stage Op-Amp Configuration,-15.1904,35.3,-0.0110,180.6739,1.0271
31744,424.1,27,Two-Stage Op-Amp Configuration,-21.2986,37.9,-0.0118,169.0741,1.0056
32768,437.3,30,Two-Stage Op-Amp Configuration,-14.2418,34.1,-0.0153,187.3017,1.0151
33792,450.6,31,Two-Stage Op-Amp Configuration,-7.2562,33.0,-0.0142,48.1927,1.0186
34816,463.7,31,Two-Stage Op-Amp Configuration,-16.4873,33.0,-0.0092,207.1078,1.0124
35840,476.9,29,Two-Stage Op-Amp Configuration,-27.0682,35.3,-0.0093,421.0376,1.0018
36864,490.1,40,Two-Stage Op-Amp Configuration,-6.9562,25.6,-0.0193,92.6726,1.0157
37888,503.5,47,Two-Stage Op-Amp Configuration,-4.8180,21.8,-0.0202,172.1204,1.0087
38912,516.7,41,Two-Stage Op-Amp Configuration,-6.8499,25.0,-0.0142,126.6427,1.0086
39936,531.1,38,Two-Stage Op-Amp Configuration,-12.7194,26.9,-0.0098,278.7974,0.9993
40960,544.9,32,Two-Stage Op-Amp Configuration,-54.8513,32.0,-0.0124,3191.8497,0.9752
41984,558.8,46,Two-Stage Op-Amp Configuration,-0.2120,22.3,-0.0115,77.7294,0.9915
43008,572.6,39,Two-Stage Op-Amp Configuration,-0.5267,26.3,-0.0175,133.9568,0.9845
44032,586.3,33,Two-Stage Op-Amp Configuration,-11.8937,31.0,-0.0095,288.2734,0.9843
45056,599.7,30,Two-Stage Op-Amp Configuration,-15.3098,34.1,-0.0028,211.9630,0.9552
46080,613.3,43,Two-Stage Op-Amp Configuration,-6.0936,23.8,-0.0171,168.9793,0.9843
47104,626.8,28,Two-Stage Op-Amp Configuration,-15.3456,36.6,-0.0104,154.1559,0.9689
48128,640.4,29,Two-Stage Op-Amp Configuration,-13.2444,35.3,-0.0124,110.8102,0.9489
49152,654.3,45,Two-Stage Op-Amp Configuration,1.6981,22.8,-0.0119,68.3488,0.9544
50176,667.7,34,Two-Stage Op-Amp Configuration,-17.9188,30.1,-0.0111,197.6062,0.9477
51200,681.1,35,Two-Stage Op-Amp Configuration,-7.5349,29.3,-0.0140,118.3621,0.9567
52224,694.8,54,Two-Stage Op-Amp Configuration,-16.9312,19.0,-0.0123,1498.8023,0.9521
53248,708.2,36,Two-Stage Op-Amp Configuration,-16.0545,28.4,-0.0180,271.0611,0.9484
54272,721.9,60,Two-Stage Op-Amp Configuration,3.1296,17.1,-0.0134,85.2942,0.9569
55296,736.0,43,Two-Stage Op-Amp Configuration,-11.0159,23.8,-0.0165,457.1772,0.9605
56320,750.1,57,Two-Stage Op-Amp Configuration,2.2972,18.0,-0.0138,67.8820,0.9443
57344,764.5,47,Two-Stage Op-Amp Configuration,-11.0264,21.8,-0.0181,168.6600,0.9430
58368,778.0,32,Two-Stage Op-Amp Configuration,-10.9881,32.0,-0.0105,98.4325,0.9381
59392,792.1,50,Two-Stage Op-Amp Configuration,-18.4130,20.5,-0.0161,550.8242,0.9368
60416,805.7,28,Two-Stage Op-Amp Configuration,-5.7418,36.6,-0.0159,32.8373,0.9499
61440,819.8,49,Two-Stage Op-Amp Configuration,-4.4888,20.9,-0.0145,223.1876,0.9541
62464,833.1,23,Two-Stage Op-Amp Configuration,-8.6362,44.5,-0.0100,25.2307,0.9463
63488,846.8,36,Two-Stage Op-Amp Configuration,-1.7812,28.4,-0.0211,24.7536,0.9411
64512,860.4,41,Two-Stage Op-Amp Configuration,-15.1101,25.0,-0.0118,639.2146,0.9306
65536,874.2,52,Two-Stage Op-Amp Configuration,-7.3514,19.7,-0.0144,181.3607,0.9277
66560,888.0,54,Two-Stage Op-Amp Configuration,-1.1923,19.0,-0.0139,122.6191,0.9361
67584,901.5,48,Two-Stage Op-Amp Configuration,-22.8093,21.3,-0.0087,1193.3492,0.9177
68608,915.3,38,Two-Stage Op-Amp Configuration,-13.8576,26.9,-0.0173,408.0525,0.9340
69632,929.0,41,Two-Stage Op-Amp Configuration,-8.5330,25.0,-0.0149,206.0781,0.9293
70656,943.0,67,Two-Stage Op-Amp Configuration,-11.3553,15.3,-0.0126,1948.8035,0.9252
71680,956.6,40,Two-Stage Op-Amp Configuration,-3.7367,25.6,-0.0217,88.7193,0.9239
72704,970.4,43,Two-Stage Op-Amp Configuration,-13.7342,23.8,-0.0116,354.2965,0.9142
73728,984.1,48,Two-Stage Op-Amp Configuration,-2.3968,21.3,-0.0132,78.6495,0.9109
74752,997.7,35,Two-Stage Op-Amp Configuration,-20.4999,29.3,-0.0159,428.0945,0.8909
75776,1011.3,47,Two-Stage Op-Amp Configuration,-3.0782,21.8,-0.0102,123.9921,0.8808
76800,1024.9,43,Two-Stage Op-Amp Configuration,-26.4877,23.8,-0.0069,1754.2625,0.8849
77824,1038.3,30,Two-Stage Op-Amp Configuration,-3.4251,34.1,-0.0159,31.1639,0.8977
78848,1052.1,55,Two-Stage Op-Amp Configuration,-2.1186,18.6,-0.0173,98.0293,0.8838
79872,1066.1,53,Two-Stage Op-Amp Configuration,0.6236,19.3,-0.0142,42.3308,0.8828
80896,1079.9,52,Two-Stage Op-Amp Configuration,-0.0631,19.7,-0.0146,72.5890,0.8840
81920,1093.0,41,Two-Stage Op-Amp Configuration,-20.7222,25.0,-0.0135,1102.0159,0.8945
82944,1105.9,49,Two-Stage Op-Amp Configuration,-26.9474,20.9,-0.0168,1488.4132,0.9011
83968,1118.8,50,Two-Stage Op-Amp Configuration,-0.4229,20.5,-0.0151,160.8366,0.8883
84992,1131.8,53,Two-Stage Op-Amp Configuration,-0.6745,19.3,-0.0145,53.9576,0.8884
86016,1144.5,42,Two-Stage Op-Amp Configuration,-1.9874,24.4,-0.0102,33.2794,0.8868
87040,1157.5,44,Two-Stage Op-Amp Configuration,-17.3122,23.3,-0.0178,310.4013,0.8745
88064,1170.3,41,Two-Stage Op-Amp Configuration,-9.8764,25.0,-0.0083,191.9395,0.8802
89088,1183.3,63,Two-Stage Op-Amp Configuration,-0.1327,16.3,-0.0126,46.8434,0.8668
90112,1195.8,35,Two-Stage Op-Amp Configuration,-3.8658,29.3,-0.0155,12.8826,0.8805
91136,1208.8,48,Two-Stage Op-Amp Configuration,-5.8716,21.3,-0.0137,79.9393,0.8729
92160,1221.3,37,Two-Stage Op-Amp Configuration,-20.4910,27.7,-0.0224,670.6259,0.8743
93184,1235.1,60,Two-Stage Op-Amp Configuration,-1.0992,17.1,-0.0126,104.7491,0.8587
94208,1249.8,37,Two-Stage Op-Amp Configuration,-12.5285,27.7,-0.0129,178.4217,0.8707
95232,1263.1,50,Two-Stage Op-Amp Configuration,-12.8436,20.5,-0.0137,739.7270,0.8610
96256,1276.0,47,Two-Stage Op-Amp Configuration,-8.9672,21.8,-0.0110,244.8001,0.8577
