timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,12.7,40,Common-Source Amplifier,-17.2062,25.4,-0.0002,311.0160,1.0899
2048,24.5,40,Common-Source Amplifier,-8.2534,25.1,-0.0070,51.6186,1.0794
3072,37.0,34,Common-Source Amplifier,-13.6414,30.0,-0.0104,57.8136,1.0669
4096,49.9,44,Common-Source Amplifier,-33.8316,23.1,0.0243,1605.8791,1.0755
5120,62.7,33,Common-Source Amplifier,-11.0042,30.4,-0.0081,47.5556,1.0761
6144,75.5,37,Common-Source Amplifier,-21.0086,27.0,-0.0051,180.4132,1.0724
7168,88.7,39,Common-Source Amplifier,-3.9988,25.2,0.0006,15.1454,1.0699
8192,101.3,49,Common-Source Amplifier,-4.0243,20.5,-0.0028,28.4579,1.0667
9216,114.4,32,Common-Source Amplifier,-8.2122,31.5,-0.0039,15.6150,1.0447
10240,127.4,36,Common-Source Amplifier,-7.9390,28.4,-0.0108,16.8791,1.0416
11264,140.4,42,Common-Source Amplifier,-3.2940,24.0,-0.0099,8.6625,1.0356
12288,153.6,42,Common-Source Amplifier,-3.3490,24.2,-0.0121,7.6870,1.0178
13312,166.5,42,Common-Source Amplifier,-4.3788,23.6,-0.0035,12.0863,1.0083
14336,179.9,48,Common-Source Amplifier,-3.5787,21.0,-0.0055,15.0417,0.9909
15360,193.1,27,Common-Source Amplifier,-9.1578,36.5,-0.0080,4.9512,0.9708
16384,206.2,45,Common-Source Amplifier,-2.9176,22.3,-0.0063,8.8694,0.9757
17408,218.2,44,Common-Source Amplifier,-3.0720,23.3,-0.0045,7.9864,0.9496
18432,230.4,42,Common-Source Amplifier,-10.4398,24.0,0.0030,58.8100,0.9485
19456,242.6,38,Common-Source Amplifier,-5.9339,26.6,-0.0013,9.6187,0.9422
20480,254.8,40,Common-Source Amplifier,-6.8996,25.4,0.0008,21.6119,0.8976
21504,267.2,48,Common-Source Amplifier,-0.5158,20.8,-0.0024,5.9280,0.9021
22528,278.9,31,Common-Source Amplifier,-7.5059,32.4,-0.0081,9.4795,0.8876
23552,291.3,29,Common-Source Amplifier,-14.3856,35.2,0.0073,97.4252,0.8809
24576,303.4,38,Common-Source Amplifier,-5.1710,26.4,-0.0053,24.0502,0.8827
25600,315.6,31,Common-Source Amplifier,-103.2644,32.5,0.0196,13649.2883,0.8628
26624,327.7,44,Common-Source Amplifier,-4.9036,22.5,0.0183,75.4105,0.8887
27648,340.3,39,Common-Source Amplifier,-3.7638,25.7,-0.0005,16.6667,0.8824
28672,352.1,36,Common-Source Amplifier,-9.9447,27.9,-0.0061,59.8969,0.8725
29696,364.1,42,Common-Source Amplifier,-3.7316,23.2,0.0019,35.3354,0.8681
30720,376.3,34,Common-Source Amplifier,-8.3142,28.9,-0.0001,69.9731,0.8274
31744,387.7,44,Common-Source Amplifier,-53.3594,23.0,0.0170,7991.9862,0.8289
32768,399.4,54,Common-Source Amplifier,-1.2015,18.5,0.0142,71.5233,0.8504
33792,412.3,35,Common-Source Amplifier,-6.0346,29.3,0.0106,25.3941,0.8553
34816,425.1,57,Common-Source Amplifier,-12.0587,17.9,0.0783,504.6629,0.8474
35840,437.4,37,Common-Source Amplifier,-10.7240,26.8,0.0122,71.6792,0.8105
36864,448.9,41,Common-Source Amplifier,-7.3325,24.8,0.0036,82.4204,0.8157
37888,461.6,40,Common-Source Amplifier,-2.0907,24.9,-0.0072,33.5817,0.8376
38912,474.6,45,Common-Source Amplifier,-1.8354,21.9,0.0019,20.7837,0.8382
39936,486.6,35,Common-Source Amplifier,-4.5337,27.9,-0.0051,18.1700,0.7620
40960,498.4,41,Common-Source Amplifier,-3.6415,24.8,-0.0074,22.7530,0.7771
41984,510.5,43,Common-Source Amplifier,-12.1885,23.0,0.0449,188.0375,0.7384
43008,523.0,50,Common-Source Amplifier,-8.4281,20.1,0.0552,232.8445,0.7100
44032,535.3,43,Common-Source Amplifier,-4.1812,23.8,0.0053,31.0015,0.7425
45056,547.5,43,Common-Source Amplifier,-1.7182,23.6,-0.0089,19.7525,0.7243
46080,560.3,43,Common-Source Amplifier,-22.8023,23.3,0.0443,403.5072,0.7299
47104,573.0,64,Common-Source Amplifier,-2.1082,15.3,0.0739,108.2326,0.7452
48128,585.8,58,Common-Source Amplifier,-3.8688,17.5,0.0223,131.2261,0.7312
49152,598.3,42,Common-Source Amplifier,-5.4794,23.6,-0.0047,25.5045,0.7033
50176,610.8,72,Common-Source Amplifier,1.5936,13.9,-0.0040,53.4999,0.6494
51200,623.6,58,Common-Source Amplifier,0.1801,17.6,-0.0039,35.5818,0.6872
52224,635.7,49,Common-Source Amplifier,-3.2933,20.6,-0.0061,36.0956,0.6887
53248,648.1,76,Common-Source Amplifier,2.7859,13.3,-0.0053,16.4401,0.6708
54272,660.3,73,Common-Source Amplifier,0.4122,13.5,-0.0103,27.7560,0.6465
55296,672.2,53,Common-Source Amplifier,-0.0946,18.8,-0.0080,13.4600,0.6691
56320,684.6,64,Common-Source Amplifier,1.7347,15.5,-0.0121,13.3956,0.6771
57344,696.9,56,Common-Source Amplifier,1.8555,18.2,-0.0060,13.9799,0.6840
58368,709.2,66,Common-Source Amplifier,-0.2281,15.2,-0.0100,24.7922,0.6746
59392,721.7,83,Common-Source Amplifier,2.2133,12.1,-0.0075,21.2565,0.6397
60416,734.3,54,Common-Source Amplifier,-1.4769,18.5,-0.0052,20.7881,0.6649
61440,746.2,65,Common-Source Amplifier,-3.1719,15.6,0.0318,118.8320,0.6526
62464,758.0,58,Common-Source Amplifier,-0.8008,17.0,-0.0073,12.0170,0.6440
63488,769.3,43,Common-Source Amplifier,-1.5249,23.6,-0.0034,15.2663,0.6749
64512,781.7,75,Common-Source Amplifier,3.3456,13.7,-0.0066,10.8296,0.6571
65536,793.8,86,Common-Source Amplifier,4.4097,11.9,-0.0055,7.9439,0.6259
66560,806.2,80,Common-Source Amplifier,2.9227,12.8,-0.0126,8.2873,0.6575
67584,818.5,53,Common-Source Amplifier,-1.7206,19.2,-0.0194,13.6499,0.6785
68608,830.8,64,Common-Source Amplifier,1.1577,15.8,-0.0088,14.3412,0.6498
69632,843.8,66,Common-Source Amplifier,1.9518,15.4,-0.0123,10.6393,0.6356
70656,856.2,56,Common-Source Amplifier,0.2368,17.7,-0.0108,18.4439,0.6804
71680,868.8,52,Common-Source Amplifier,1.1737,19.1,-0.0042,6.7446,0.6812
72704,881.0,61,Common-Source Amplifier,1.4498,16.2,-0.0108,10.8403,0.6712
73728,893.4,62,Common-Source Amplifier,0.3118,16.2,-0.0046,11.1262,0.6747
74752,905.0,59,Common-Source Amplifier,-3.5846,17.3,0.0182,128.3876,0.7214
75776,916.7,77,Common-Source Amplifier,3.4325,13.0,0.0045,9.3183,0.5969
76800,928.5,68,Common-Source Amplifier,0.3692,15.1,0.0151,83.3475,0.6047
77824,940.3,75,Common-Source Amplifier,2.8879,13.5,-0.0088,8.0099,0.5632
78848,952.6,78,Common-Source Amplifier,4.8293,12.8,-0.0075,9.0406,0.5626
79872,964.8,80,Common-Source Amplifier,2.7458,12.6,-0.0110,25.7893,0.5574
80896,977.2,86,Common-Source Amplifier,3.6687,11.9,-0.0036,8.9177,0.5335
81920,989.0,74,Common-Source Amplifier,2.9661,13.7,0.0015,12.8059,0.5084
82944,1001.3,79,Common-Source Amplifier,3.9268,12.6,0.0160,57.1439,0.5168
83968,1013.3,66,Common-Source Amplifier,0.0758,15.1,0.0042,34.6722,0.5076
84992,1025.3,82,Common-Source Amplifier,2.8599,12.3,-0.0031,15.3115,0.4865
86016,1037.0,101,Common-Source Amplifier,6.3021,10.1,-0.0162,3.3736,0.4808
87040,1048.7,82,Common-Source Amplifier,5.4857,12.3,-0.0081,4.9035,0.5153
88064,1060.6,72,Common-Source Amplifier,1.7353,14.2,0.0049,51.3223,0.5227
89088,1072.1,74,Common-Source Amplifier,3.1077,13.7,0.0160,9.0508,0.5442
90112,1083.8,78,Common-Source Amplifier,5.2786,13.0,-0.0079,3.0116,0.5181
91136,1096.0,83,Common-Source Amplifier,2.0191,12.3,0.0076,47.5464,0.5181
92160,1108.8,85,Common-Source Amplifier,3.4907,11.9,-0.0067,13.4584,0.5148
93184,1121.0,83,Common-Source Amplifier,3.7486,12.3,-0.0056,19.4593,0.5341
94208,1133.2,67,Common-Source Amplifier,2.7006,14.9,0.0400,70.1575,0.5539
95232,1145.5,91,Common-Source Amplifier,3.0629,11.2,0.0096,22.6288,0.5094
96256,1157.5,83,Common-Source Amplifier,2.4697,12.1,0.0054,45.2145,0.5364
97280,1169.8,86,Common-Source Amplifier,0.9143,11.7,0.0065,100.7299,0.4961
98304,1182.1,75,Common-Source Amplifier,1.3316,13.2,0.0007,62.3440,0.5398
99328,1194.7,81,Common-Source Amplifier,3.9900,12.6,-0.0102,6.0810,0.5084
100352,1206.8,76,Common-Source Amplifier,1.5299,13.4,-0.0115,18.4231,0.5359
