timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy,pct_err_gain_db,pct_err_bandwidth
128,1.8,4,Common-Source Amplifier,-9.0034,30.0,-0.0282,34.4250,1.0803,24.36,41.54
256,3.4,4,Common-Source Amplifier,-6.3767,30.0,-0.0203,5.8898,1.0800,40.98,45.62
384,5.2,4,Common-Source Amplifier,-3.7051,30.0,-0.0245,7.1920,1.0806,6.24,46.92
512,7.0,5,Common-Source Amplifier,-2.7596,23.6,-0.0253,7.2299,1.0611,4.70,29.49
640,8.6,4,Common-Source Amplifier,-11.9688,30.0,-0.0193,86.9582,1.0526,7.76,49.12
768,10.4,4,Common-Source Amplifier,-4.3673,30.0,-0.0330,5.6896,1.0330,3.87,51.68
896,12.1,4,Common-Source Amplifier,2.3715,30.0,-0.0028,2.9703,1.0235,1.18,32.23
1024,13.9,4,Common-Source Amplifier,-7.2923,26.0,-0.0285,13.9178,1.0091,1.23,37.80
1152,15.6,4,Common-Source Amplifier,-8.7657,30.0,-0.0250,55.3882,1.0078,11.79,36.55
1280,17.3,5,Common-Source Amplifier,-0.8939,25.6,-0.0125,5.5251,1.0227,25.96,15.38
1408,19.0,4,Common-Source Amplifier,1.1577,30.0,-0.0182,2.1491,0.9954,14.09,40.70
1536,20.8,4,Common-Source Amplifier,-1.3752,30.0,-0.0398,3.1564,0.9628,5.12,39.62
1664,22.5,4,Common-Source Amplifier,2.6162,30.0,-0.0078,3.8509,0.9643,11.32,46.70
1792,24.3,4,Common-Source Amplifier,2.1093,30.0,-0.0090,2.7186,0.9725,4.96,39.44
1920,26.1,4,Common-Source Amplifier,-1.1598,26.2,-0.0096,2.6561,0.9788,21.46,16.27
2048,27.9,4,Common-Source Amplifier,-0.8029,30.0,-0.0240,10.2209,0.9512,31.82,112.81
2176,29.6,4,Common-Source Amplifier,0.1207,30.0,-0.0326,2.4777,0.9295,12.62,27.34
2304,31.4,4,Common-Source Amplifier,1.4067,24.8,-0.0184,2.9465,0.9517,14.94,15.58
2432,33.3,4,Common-Source Amplifier,1.9091,27.5,-0.0144,6.6494,0.9392,6.60,36.79
2560,35.1,4,Common-Source Amplifier,-0.3092,30.0,-0.0200,5.7009,0.9306,23.42,21.00
2688,36.8,4,Common-Source Amplifier,3.3479,26.8,-0.0330,2.0423,0.8924,5.43,33.06
2816,38.6,5,Common-Source Amplifier,-3.3808,23.2,0.0088,7.4838,0.8357,25.25,45.42
2944,40.4,5,Common-Source Amplifier,4.7267,25.2,0.0146,3.9494,0.9161,22.65,6.59
3072,42.2,4,Common-Source Amplifier,1.9677,30.0,-0.0127,2.2131,0.8582,17.82,13.71
3200,43.9,5,Common-Source Amplifier,5.1433,25.0,-0.0155,2.3243,0.8512,11.10,20.62
3328,45.6,5,Common-Source Amplifier,4.5344,23.2,-0.0098,2.7220,0.8503,0.58,27.45
3456,47.4,4,Common-Source Amplifier,4.9604,28.0,-0.0176,4.6810,0.8608,8.55,34.54
3584,49.2,4,Common-Source Amplifier,4.8482,25.2,-0.0304,2.6496,0.8581,4.35,25.80
3712,51.0,4,Common-Source Amplifier,5.2619,26.0,-0.0219,2.1359,0.8003,0.16,29.31
3840,52.7,5,Common-Source Amplifier,2.5909,22.0,-0.0235,3.7142,0.7918,8.37,0.90
3968,54.5,5,Common-Source Amplifier,5.1873,23.2,-0.0159,1.3711,0.7932,1.12,19.75
4096,56.2,4,Common-Source Amplifier,2.9238,26.2,-0.0235,1.2660,0.8283,3.28,23.24
4224,58.0,4,Common-Source Amplifier,4.5664,27.8,-0.0331,2.2225,0.8302,0.51,28.66
4352,59.7,4,Common-Source Amplifier,0.6790,28.8,-0.0136,3.0037,0.8272,22.62,14.51
4480,61.4,4,Common-Source Amplifier,3.1646,30.0,-0.0178,2.9385,0.8410,38.94,0.76
4608,63.2,5,Common-Source Amplifier,3.4015,23.2,-0.0416,1.5989,0.8037,21.25,1.17
4736,65.0,4,Common-Source Amplifier,3.0184,25.2,-0.0288,2.4939,0.7488,23.73,7.13
4864,66.8,5,Common-Source Amplifier,3.1286,25.0,-0.0214,3.5129,0.7463,7.36,20.06
4992,68.6,5,Common-Source Amplifier,6.0906,24.8,-0.0054,1.9561,0.7086,3.97,20.18
5120,70.3,5,Common-Source Amplifier,4.2123,24.8,-0.0121,1.5153,0.7221,5.39,18.72
5248,72.1,5,Common-Source Amplifier,3.0263,22.2,-0.0139,1.6594,0.6597,5.97,19.34
5376,73.9,5,Common-Source Amplifier,1.6893,25.4,-0.0390,7.3667,0.7552,3.69,19.85
5504,75.7,4,Common-Source Amplifier,4.0846,30.0,-0.0301,2.8168,0.6786,16.32,23.10
5632,77.4,6,Common-Source Amplifier,4.8645,19.8,-0.0235,2.9681,0.6859,1.33,17.26
5760,79.2,4,Common-Source Amplifier,4.9032,30.0,-0.0215,2.5363,0.6737,6.22,29.24
5888,81.0,4,Common-Source Amplifier,5.0837,28.5,-0.0112,1.7410,0.6699,0.71,21.93
6016,82.8,4,Common-Source Amplifier,7.4192,29.0,-0.0229,1.4455,0.7013,8.79,16.27
6144,84.6,5,Common-Source Amplifier,3.5514,23.0,-0.0057,2.6408,0.6360,0.24,19.44
6272,86.4,5,Common-Source Amplifier,7.1360,25.0,-0.0089,1.6801,0.6409,2.37,23.66
