timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy,pct_err_gain_db,pct_err_bandwidth
128,2.7,5,Common-Source Amplifier,14.1405,23.4,-0.0247,85.0989,1.0790,44.73,5.55
256,5.4,4,Common-Source Amplifier,17.3867,30.0,-0.0107,79.8186,1.0480,56.78,1.38
384,8.1,4,Common-Source Amplifier,4.3596,30.0,0.0446,410.5348,1.0612,79.85,221.83
512,10.8,4,Common-Source Amplifier,10.2192,29.5,-0.0166,113.2296,1.0571,40.81,23.03
640,13.5,6,Common-Source Amplifier,29.8104,21.0,-0.0055,120.7689,1.0697,41.69,0.90
768,16.3,4,Common-Source Amplifier,-19.7237,25.2,0.0224,1064.8947,1.0651,61.54,221.28
896,19.1,5,Common-Source Amplifier,19.7209,25.0,-0.0151,59.8711,1.0610,38.99,2.17
1024,21.8,5,Common-Source Amplifier,13.0377,22.0,-0.0238,89.6169,1.0462,23.94,21.33
1152,24.5,4,Common-Source Amplifier,22.3412,30.0,-0.0311,122.4423,1.0291,105.29,184.30
1280,27.2,5,Common-Source Amplifier,33.0368,21.0,0.0090,98.2616,1.0112,43.40,2.66
1408,30.0,5,Common-Source Amplifier,9.8097,24.8,-0.0145,109.2359,1.0329,61.52,11.58
1536,32.7,5,Common-Source Amplifier,-5.2810,20.4,-0.0273,528.6667,1.0168,42.45,190.74
1664,35.3,4,Common-Source Amplifier,49.0131,27.8,-0.0116,135.9314,0.9730,52.21,8.64
1792,38.0,4,Common-Source Amplifier,41.2493,30.0,-0.0298,86.8857,0.9877,64.61,11.90
1920,40.8,6,Common-Source Amplifier,20.3640,18.8,0.0133,131.2873,0.9981,29.21,47.93
2048,43.6,4,Common-Source Amplifier,28.0892,30.0,-0.0259,61.4363,1.0022,60.62,9.03
2176,46.3,5,Common-Source Amplifier,23.0717,25.4,0.0011,107.1865,0.9665,34.16,14.16
2304,49.1,5,Common-Source Amplifier,23.0723,20.2,-0.0149,89.4454,0.9540,29.85,0.48
2432,51.8,4,Common-Source Amplifier,38.4825,30.0,-0.0071,97.6637,0.9665,51.03,12.02
2560,54.6,5,Common-Source Amplifier,40.3045,23.0,-0.0099,109.2737,0.9450,28.99,14.86
2688,57.4,5,Common-Source Amplifier,34.4433,25.4,-0.0076,84.6523,0.9569,47.92,3.46
2816,60.1,4,Common-Source Amplifier,20.7699,24.8,-0.0176,121.6662,0.9019,37.73,6.25
2944,62.8,5,Common-Source Amplifier,29.3893,24.8,-0.0156,58.3212,0.9305,37.73,10.43
3072,65.6,4,Common-Source Amplifier,53.9267,30.0,0.0142,88.0256,0.9459,48.93,5.39
3200,68.3,4,Common-Source Amplifier,21.5954,30.0,0.0483,115.5532,0.9611,45.49,18.17
3328,71.1,4,Common-Source Amplifier,45.6314,30.0,0.0044,91.8251,0.9414,44.30,22.88
3456,73.9,6,Common-Source Amplifier,36.8046,19.0,-0.0059,118.7685,0.9592,24.76,7.03
3584,76.7,5,Common-Source Amplifier,32.3804,21.2,0.0049,181.1991,0.9656,28.96,16.66
3712,79.4,4,Common-Source Amplifier,45.0572,25.8,0.0179,105.6953,0.9598,41.53,0.66
3840,82.3,4,Common-Source Amplifier,41.7017,30.0,-0.0186,106.3546,0.9328,23.52,22.35
3968,85.1,5,Common-Source Amplifier,45.0164,24.8,-0.0111,87.4703,0.9140,25.10,8.38
4096,87.9,5,Common-Source Amplifier,41.2143,24.8,-0.0142,76.3126,0.9146,42.59,17.56
4224,90.7,5,Common-Source Amplifier,27.9994,20.0,-0.0109,177.3125,0.9062,25.95,16.59
4352,93.4,4,Common-Source Amplifier,49.2541,30.0,-0.0148,68.3316,0.9079,46.14,0.53
4480,96.2,5,Common-Source Amplifier,33.9399,20.4,-0.0212,135.8730,0.8828,28.21,8.50
4608,99.0,5,Common-Source Amplifier,50.2096,25.0,-0.0016,109.2104,0.8733,32.16,3.88
4736,101.8,4,Common-Source Amplifier,43.5480,30.0,-0.0143,105.9034,0.8691,38.90,12.89
4864,104.5,4,Common-Source Amplifier,39.9435,27.5,-0.0216,75.8293,0.8213,21.62,11.04
4992,107.2,4,Common-Source Amplifier,40.6539,27.0,-0.0310,61.7292,0.7603,26.76,18.64
5120,110.0,5,Common-Source Amplifier,28.9324,24.8,0.0355,139.5135,0.7745,34.32,13.90
5248,112.9,6,Common-Source Amplifier,30.4432,21.3,-0.0114,128.7043,0.7670,21.40,1.83
5376,115.7,4,Common-Source Amplifier,57.0142,29.8,0.0459,82.5562,0.7638,26.56,8.19
5504,118.4,4,Common-Source Amplifier,51.9910,30.0,-0.0095,78.2962,0.7388,27.80,14.27
5632,121.2,4,Common-Source Amplifier,40.2494,30.0,-0.0039,113.1965,0.7586,26.92,5.49
5760,124.1,4,Common-Source Amplifier,54.0416,30.0,-0.0263,72.7563,0.7623,19.63,26.05
5888,127.0,5,Common-Source Amplifier,35.0415,24.8,-0.0067,104.4139,0.7742,21.35,18.86
6016,130.1,5,Common-Source Amplifier,37.4451,25.0,-0.0193,95.6763,0.7723,26.68,3.92
6144,133.2,5,Common-Source Amplifier,50.9456,25.0,0.0070,70.8885,0.8100,13.28,11.40
6272,136.1,5,Common-Source Amplifier,40.8597,25.2,-0.0162,102.4500,0.8134,22.02,10.34
6400,139.0,4,Common-Source Amplifier,52.1568,30.0,-0.0144,59.3358,0.8216,24.42,11.39
6528,141.1,4,Common-Source Amplifier,35.3670,30.0,-0.0126,83.3406,0.8114,43.17,15.74
6656,143.1,5,Common-Source Amplifier,26.9805,24.0,-0.0021,83.9556,0.7919,18.76,23.01
6784,145.0,4,Common-Source Amplifier,37.4192,28.8,-0.0231,87.7226,0.7718,35.56,0.02
6912,146.9,5,Common-Source Amplifier,32.9517,24.8,-0.0294,86.9396,0.7924,33.37,11.45
7040,148.7,4,Common-Source Amplifier,19.6910,30.0,-0.0159,76.0505,0.7829,26.45,27.48
7168,150.5,4,Common-Source Amplifier,33.4255,30.0,0.0012,60.3578,0.7419,31.46,1.87
7296,152.4,4,Common-Source Amplifier,31.9390,25.0,-0.0111,93.8015,0.7226,28.26,8.00
7424,154.3,4,Common-Source Amplifier,51.2459,27.8,0.0008,83.2615,0.7119,33.85,9.67
7552,156.3,5,Common-Source Amplifier,44.3234,25.0,-0.0148,87.5827,0.7183,25.73,0.70
7680,158.2,5,Common-Source Amplifier,28.4009,24.8,-0.0100,75.4667,0.7222,24.65,5.65
7808,160.0,5,Common-Source Amplifier,26.6432,25.2,-0.0003,119.1838,0.7551,23.89,25.17
7936,161.9,4,Common-Source Amplifier,46.4179,25.0,0.0052,105.8366,0.7424,9.49,17.83
8064,163.8,5,Common-Source Amplifier,34.4441,25.0,-0.0138,83.2170,0.7338,31.49,8.13
8192,165.7,4,Common-Source Amplifier,39.5554,30.0,-0.0227,80.1792,0.7084,41.57,9.78
8320,167.5,5,Common-Source Amplifier,43.6561,25.4,-0.0160,113.9961,0.6961,35.58,14.91
8448,169.4,5,Common-Source Amplifier,39.0179,25.6,0.0049,93.5245,0.7064,40.82,5.27
8576,171.2,4,Common-Source Amplifier,21.8435,30.0,0.0015,106.2042,0.7334,35.43,28.30
8704,173.1,4,Common-Source Amplifier,48.2392,30.0,-0.0025,63.9730,0.7009,48.35,14.06
8832,175.0,4,Common-Source Amplifier,44.9489,30.0,-0.0171,56.8358,0.7562,63.24,1.22
8960,176.8,4,Common-Source Amplifier,45.6545,30.0,-0.0221,89.5024,0.7367,75.81,5.87
