timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,14.0,14,Two-Stage Op-Amp Configuration,-25.8408,24.2,-0.0586,-1.0000,1.0904
2048,28.3,20,Two-Stage Op-Amp Configuration,-17.4713,16.1,-0.0531,-1.0000,1.0856
3072,43.0,35,Two-Stage Op-Amp Configuration,3.9062,9.7,-0.0502,-1.0000,1.0776
4096,57.3,31,Two-Stage Op-Amp Configuration,1.1148,10.9,-0.0474,-1.0000,1.0656
5120,71.3,35,Two-Stage Op-Amp Configuration,-0.7757,9.7,-0.0418,-1.0000,1.0510
6144,85.6,29,Two-Stage Op-Amp Configuration,-8.2673,11.6,-0.0412,-1.0000,1.0419
7168,99.5,35,Two-Stage Op-Amp Configuration,0.2466,9.6,-0.0392,-1.0000,1.0260
8192,113.6,37,Two-Stage Op-Amp Configuration,2.9408,9.1,-0.0296,-1.0000,1.0117
9216,127.6,57,Two-Stage Op-Amp Configuration,5.1396,5.8,-0.0224,-1.0000,1.0010
10240,141.4,38,Two-Stage Op-Amp Configuration,-1.9840,8.8,-0.0250,-1.0000,0.9905
11264,155.4,59,Two-Stage Op-Amp Configuration,5.5435,5.8,-0.0265,-1.0000,0.9795
12288,169.3,58,Two-Stage Op-Amp Configuration,6.2408,5.8,-0.0226,-1.0000,0.9749
13312,183.5,51,Two-Stage Op-Amp Configuration,4.6493,6.6,-0.0297,-1.0000,0.9655
14336,197.6,46,Two-Stage Op-Amp Configuration,0.7324,7.2,-0.0225,-1.0000,0.9609
15360,211.7,53,Two-Stage Op-Amp Configuration,4.8176,6.3,-0.0216,-1.0000,0.9459
16384,225.7,52,Two-Stage Op-Amp Configuration,1.6887,6.5,-0.0226,-1.0000,0.9405
17408,240.1,53,Two-Stage Op-Amp Configuration,1.8881,6.3,-0.0224,-1.0000,0.9336
18432,254.2,55,Two-Stage Op-Amp Configuration,5.5195,6.2,-0.0209,-1.0000,0.9137
19456,268.2,59,Two-Stage Op-Amp Configuration,4.4900,5.7,-0.0256,-1.0000,0.9157
20480,282.4,61,Two-Stage Op-Amp Configuration,5.6130,5.5,-0.0170,-1.0000,0.9081
21504,297.0,81,Two-Stage Op-Amp Configuration,6.2146,4.1,-0.0168,-1.0000,0.8990
22528,311.2,65,Two-Stage Op-Amp Configuration,4.3367,5.2,-0.0196,-1.0000,0.9020
23552,325.5,75,Two-Stage Op-Amp Configuration,5.7861,4.5,-0.0167,-1.0000,0.8887
24576,339.4,54,Two-Stage Op-Amp Configuration,5.1923,6.1,-0.0220,-1.0000,0.8647
25600,353.7,69,Two-Stage Op-Amp Configuration,5.6787,4.9,-0.0213,-1.0000,0.8569
26624,367.7,54,Two-Stage Op-Amp Configuration,5.2056,6.2,-0.0176,-1.0000,0.8354
27648,382.0,70,Two-Stage Op-Amp Configuration,5.3618,4.8,-0.0178,-1.0000,0.8438
28672,396.5,70,Two-Stage Op-Amp Configuration,5.6422,4.4,-0.0153,-1.0000,0.8484
29696,410.7,68,Two-Stage Op-Amp Configuration,4.0577,5.0,-0.0145,-1.0000,0.8365
30720,425.2,90,Two-Stage Op-Amp Configuration,6.5549,3.7,-0.0170,-1.0000,0.8290
31744,439.7,81,Two-Stage Op-Amp Configuration,6.1261,4.2,-0.0138,-1.0000,0.8285
32768,454.0,67,Two-Stage Op-Amp Configuration,4.3905,5.0,-0.0158,-1.0000,0.8302
33792,468.3,72,Two-Stage Op-Amp Configuration,3.5195,4.7,-0.0161,-1.0000,0.8125
34816,482.4,66,Two-Stage Op-Amp Configuration,4.8088,5.0,-0.0152,-1.0000,0.8076
35840,496.7,65,Two-Stage Op-Amp Configuration,4.7146,5.2,-0.0152,-1.0000,0.8037
36864,510.8,67,Two-Stage Op-Amp Configuration,5.0632,5.1,-0.0194,-1.0000,0.7843
37888,525.0,87,Two-Stage Op-Amp Configuration,4.6430,3.9,-0.0197,-1.0000,0.8032
38912,538.0,59,Two-Stage Op-Amp Configuration,1.4131,5.6,-0.0146,-1.0000,0.7988
39936,551.0,85,Two-Stage Op-Amp Configuration,4.4813,3.8,-0.0118,-1.0000,0.7940
40960,563.7,73,Two-Stage Op-Amp Configuration,5.2662,4.6,-0.0138,-1.0000,0.7889
41984,576.4,71,Two-Stage Op-Amp Configuration,3.4142,4.7,-0.0148,-1.0000,0.7853
43008,589.1,55,Two-Stage Op-Amp Configuration,4.3300,6.1,-0.0195,-1.0000,0.7700
44032,601.8,75,Two-Stage Op-Amp Configuration,4.5239,4.5,-0.0165,-1.0000,0.7752
45056,614.6,72,Two-Stage Op-Amp Configuration,5.6491,4.7,-0.0189,-1.0000,0.7451
46080,627.4,83,Two-Stage Op-Amp Configuration,6.2766,4.1,-0.0189,-1.0000,0.7435
47104,640.2,80,Two-Stage Op-Amp Configuration,3.3259,4.3,-0.0199,-1.0000,0.7793
48128,653.0,81,Two-Stage Op-Amp Configuration,4.7419,4.2,-0.0159,-1.0000,0.7493
49152,666.2,71,Two-Stage Op-Amp Configuration,4.8783,4.8,-0.0125,-1.0000,0.7534
50176,680.4,65,Two-Stage Op-Amp Configuration,2.6039,5.2,-0.0147,-1.0000,0.7785
51200,694.7,68,Two-Stage Op-Amp Configuration,4.1045,5.0,-0.0196,-1.0000,0.7697
52224,707.5,84,Two-Stage Op-Amp Configuration,5.7701,4.0,-0.0128,-1.0000,0.7434
53248,720.1,72,Two-Stage Op-Amp Configuration,4.2536,4.7,-0.0210,-1.0000,0.7524
54272,732.7,76,Two-Stage Op-Amp Configuration,5.2101,4.4,-0.0140,-1.0000,0.7616
55296,745.2,76,Two-Stage Op-Amp Configuration,3.4648,4.4,-0.0173,-1.0000,0.7519
56320,758.6,81,Two-Stage Op-Amp Configuration,4.1391,4.1,-0.0206,-1.0000,0.7582
57344,772.6,83,Two-Stage Op-Amp Configuration,2.9221,4.1,-0.0114,-1.0000,0.7494
58368,785.2,62,Two-Stage Op-Amp Configuration,2.7456,5.4,-0.0153,-1.0000,0.7335
