timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy,pct_err_gain_db,pct_err_bandwidth
128,1.7,4,Common-Source Amplifier,-30.0205,29.0,-0.0222,306.7332,1.0774,19.05,34.50
256,3.4,4,Common-Source Amplifier,-5.6115,30.0,-0.0097,3.9315,1.0598,68.81,6.64
384,5.2,4,Common-Source Amplifier,-9.0736,30.0,-0.0218,4.3423,1.0720,68.12,1.87
512,7.0,5,Common-Source Amplifier,-0.3281,22.6,-0.0147,8.0657,1.0671,26.34,1.90
640,8.7,4,Common-Source Amplifier,-10.4614,25.0,-0.0234,19.4813,1.0603,40.41,1.30
768,10.4,5,Common-Source Amplifier,-6.6327,21.0,-0.0302,10.5572,1.0541,30.66,22.63
896,12.1,7,Common-Source Amplifier,-6.4567,16.1,-0.0005,35.7120,1.0402,14.20,28.02
1024,13.9,8,Common-Source Amplifier,-9.7879,14.5,0.0003,128.1415,1.0231,23.41,60.77
1152,15.7,6,Common-Source Amplifier,-0.8159,20.3,-0.0049,11.4320,1.0374,18.49,5.99
1280,17.5,8,Common-Source Amplifier,-5.0084,15.4,-0.0335,27.4041,1.0010,11.29,1.40
1408,19.3,5,Common-Source Amplifier,-5.4671,21.4,-0.0039,7.3574,1.0116,53.04,70.33
1536,21.0,5,Common-Source Amplifier,-9.7101,20.8,-0.0007,10.0711,0.9943,54.78,105.60
1664,22.7,4,Common-Source Amplifier,-7.7819,30.0,-0.0099,5.6042,1.0416,56.77,93.76
1792,24.5,9,Common-Source Amplifier,-11.1111,12.8,-0.0247,107.5278,1.0243,15.88,49.72
1920,26.2,5,Common-Source Amplifier,-2.5334,24.2,-0.0058,15.0864,1.0292,32.72,14.83
2048,28.0,7,Common-Source Amplifier,0.7351,18.3,0.0049,3.9521,0.9877,17.03,16.44
2176,29.8,8,Common-Source Amplifier,0.7864,15.1,0.0031,2.6713,0.9734,6.02,16.15
2304,31.6,5,Common-Source Amplifier,-3.3437,21.6,0.0044,7.1399,0.9334,6.01,19.31
2432,33.4,7,Common-Source Amplifier,0.6556,17.0,-0.0171,3.1478,0.9412,22.12,1.57
2560,35.2,7,Common-Source Amplifier,-7.6012,18.0,0.0219,56.7889,0.8690,14.18,62.54
2688,36.9,5,Common-Source Amplifier,-6.8177,25.4,-0.0174,6.3299,0.9535,55.21,54.05
2816,38.6,6,Common-Source Amplifier,-11.2407,18.7,0.0288,77.0305,0.8949,50.03,189.62
2944,40.4,5,Common-Source Amplifier,-26.5030,24.8,0.0154,146.8745,0.8504,109.11,361.75
3072,42.2,5,Common-Source Amplifier,-37.3097,24.8,-0.0022,196.0585,0.8451,120.40,425.17
3200,43.9,5,Common-Source Amplifier,-48.0902,25.6,-0.0134,352.5314,0.8627,119.32,428.94
3328,45.7,5,Common-Source Amplifier,-37.8123,24.8,-0.0243,156.1497,0.8653,94.12,426.02
3456,47.5,6,Common-Source Amplifier,-46.3013,20.2,-0.0138,391.1324,0.8757,63.34,271.38
3584,49.2,4,Common-Source Amplifier,-61.8972,30.0,-0.0094,204.8166,0.8788,142.89,430.08
3712,50.9,4,Common-Source Amplifier,-30.0456,25.2,-0.0288,234.3042,0.9382,110.75,397.51
3840,52.6,5,Common-Source Amplifier,-30.3448,25.4,-0.0150,142.5329,0.9221,97.17,319.58
3968,54.5,9,Common-Source Amplifier,-9.4614,11.3,0.0376,285.6067,0.8640,31.56,106.93
4096,56.2,5,Common-Source Amplifier,-53.4599,25.6,0.0081,362.7612,0.8707,85.73,431.91
4224,58.0,7,Common-Source Amplifier,-26.2174,15.9,-0.0009,315.4847,0.8899,49.09,170.22
4352,59.8,8,Common-Source Amplifier,-12.0677,12.6,0.0239,245.2367,0.8580,19.04,77.34
4480,61.6,9,Common-Source Amplifier,-4.4736,13.0,0.0998,143.9880,0.8206,21.95,71.21
4608,63.4,6,Common-Source Amplifier,-8.4014,17.7,0.0132,75.9842,0.9038,29.53,108.77
4736,65.2,12,Common-Source Amplifier,-1.4452,10.4,0.0495,63.5790,0.8253,9.13,14.36
4864,67.1,17,Common-Source Amplifier,-0.4781,7.5,-0.0022,32.0872,0.7713,2.63,11.29
4992,68.9,14,Common-Source Amplifier,-0.9210,9.1,-0.0230,19.1890,0.8328,5.10,18.20
5120,70.8,14,Common-Source Amplifier,-10.8442,8.9,-0.0059,433.6322,0.8627,5.24,10.75
5248,72.6,14,Common-Source Amplifier,-1.6301,9.1,0.0204,42.0968,0.7690,6.59,25.31
5376,74.5,13,Common-Source Amplifier,-0.1997,9.5,0.0227,21.4718,0.7383,6.86,6.64
5504,76.2,5,Common-Source Amplifier,-15.1635,25.0,-0.0132,53.5132,0.8856,59.71,147.43
5632,78.0,13,Common-Source Amplifier,-2.0397,9.7,-0.0094,52.0752,0.8314,9.14,4.45
5760,79.7,10,Common-Source Amplifier,0.6015,12.5,-0.0164,12.6058,0.7972,10.55,9.13
5888,81.6,12,Common-Source Amplifier,-11.8322,10.5,0.0015,312.1623,0.8517,1.66,14.82
6016,83.5,16,Common-Source Amplifier,0.9996,7.9,0.0098,31.5445,0.7041,0.17,12.37
6144,85.2,9,Common-Source Amplifier,-12.7799,13.4,-0.0129,498.5374,0.8034,9.77,2.99
6272,87.0,8,Common-Source Amplifier,-1.0477,12.4,-0.0200,28.9268,0.8919,21.96,10.70
6400,88.8,11,Common-Source Amplifier,-2.0065,11.4,-0.0182,27.0514,0.8326,15.31,3.79
6528,90.6,13,Common-Source Amplifier,-1.2284,9.8,0.0075,59.3169,0.6958,0.97,14.29
6656,92.5,8,Common-Source Amplifier,-0.5720,14.9,-0.0135,5.7307,0.7865,16.63,0.41
6784,94.2,7,Common-Source Amplifier,-15.9028,18.3,-0.0057,496.3591,0.7174,24.20,37.42
6912,96.0,5,Common-Source Amplifier,-0.6516,20.8,-0.0129,4.7265,0.7603,41.74,10.43
7040,97.8,7,Common-Source Amplifier,-1.5948,17.3,-0.0371,6.1471,0.8056,21.73,15.14
7168,99.6,6,Common-Source Amplifier,-10.0029,20.2,-0.0253,89.4402,0.7715,10.16,17.70
7296,101.3,6,Common-Source Amplifier,0.1105,21.3,-0.0119,11.0042,0.7686,27.49,16.37
7424,103.0,6,Common-Source Amplifier,-2.0067,20.2,-0.0026,7.1422,0.7568,15.56,13.94
7552,104.8,4,Common-Source Amplifier,-0.0036,27.2,-0.0222,2.2297,0.8059,30.47,11.30
7680,106.5,6,Common-Source Amplifier,-10.3739,20.8,-0.0172,72.4822,0.7896,1.49,16.88
7808,108.3,6,Common-Source Amplifier,-3.3267,21.2,-0.0238,19.8649,0.7720,20.62,6.06
7936,110.0,5,Common-Source Amplifier,-2.2588,23.0,-0.0109,5.0505,0.8056,50.74,22.80
8064,111.8,5,Common-Source Amplifier,-0.0482,22.0,-0.0151,5.7496,0.8307,34.02,31.14
8192,113.5,5,Common-Source Amplifier,-6.9007,22.4,-0.0154,23.3545,0.8352,35.12,25.31
8320,115.3,7,Common-Source Amplifier,-1.1039,16.6,-0.0228,26.6114,0.7644,4.26,19.02
8448,117.2,5,Common-Source Amplifier,-1.8958,21.2,-0.0214,8.0527,0.7729,25.17,36.53
8576,118.9,9,Common-Source Amplifier,1.2019,12.9,-0.0189,4.3857,0.7669,14.60,10.39
8704,120.8,12,Common-Source Amplifier,1.5039,10.7,-0.0080,0.7552,0.7115,8.87,10.63
8832,122.6,11,Common-Source Amplifier,0.2090,10.5,-0.0293,10.1596,0.7274,11.69,6.24
8960,124.4,8,Common-Source Amplifier,-8.9183,15.2,0.0124,186.2603,0.7203,13.95,67.58
9088,126.2,5,Common-Source Amplifier,-0.8651,25.2,0.0296,7.9854,0.7581,11.83,13.08
9216,127.9,6,Common-Source Amplifier,2.2344,21.2,-0.0065,3.7044,0.7432,21.01,16.98
9344,129.7,6,Common-Source Amplifier,-0.5558,17.3,-0.0134,22.4721,0.7158,4.62,17.77
9472,131.5,9,Common-Source Amplifier,-3.6850,14.0,-0.0090,71.9680,0.7331,0.91,11.92
9600,133.2,9,Common-Source Amplifier,2.0628,13.9,-0.0021,5.2870,0.7267,3.03,16.30
9728,135.1,9,Common-Source Amplifier,1.7581,11.2,-0.0234,2.3047,0.6915,0.43,16.16
9856,136.8,9,Common-Source Amplifier,-4.0044,13.3,-0.0117,68.2021,0.6752,3.92,15.71
9984,138.6,10,Common-Source Amplifier,1.4087,12.5,-0.0069,6.0607,0.6584,4.40,12.22
10112,140.4,9,Common-Source Amplifier,1.2286,12.9,-0.0220,4.8183,0.6783,5.57,5.50
10240,142.1,10,Common-Source Amplifier,1.5340,12.8,-0.0288,1.0174,0.7011,7.71,12.47
