timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy,pct_err_gain_db,pct_err_bandwidth
10368,143.9,8,Common-Source Amplifier,1.6935,16.0,-0.0106,1.5539,0.6651,3.31,6.01
10496,145.7,10,Common-Source Amplifier,1.4010,10.2,-0.0076,1.3927,0.6408,1.10,14.50
10624,147.4,7,Common-Source Amplifier,-0.0437,16.3,-0.0190,5.7700,0.6498,16.01,25.57
10752,149.3,7,Common-Source Amplifier,2.0282,16.4,-0.0138,1.1377,0.6354,1.62,16.32
10880,151.0,8,Common-Source Amplifier,-2.3309,15.2,-0.0144,33.9278,0.5948,16.10,31.42
11008,152.9,9,Common-Source Amplifier,2.2335,12.4,-0.0211,5.2505,0.6006,1.69,14.14
11136,154.7,11,Common-Source Amplifier,1.5316,10.0,-0.0116,0.7682,0.5995,7.28,11.67
11264,156.6,19,Common-Source Amplifier,1.6919,6.5,-0.0292,0.1157,0.5693,2.11,17.55
11392,158.4,15,Common-Source Amplifier,1.6634,8.5,-0.0174,0.9364,0.6335,0.49,14.07
11520,160.2,9,Common-Source Amplifier,-0.8342,13.9,-0.0230,15.8664,0.6196,0.10,15.76
11648,162.1,15,Common-Source Amplifier,1.7045,8.5,0.0038,1.2118,0.6224,4.76,17.37
11776,164.0,13,Common-Source Amplifier,2.1356,9.2,-0.0042,0.2933,0.6296,2.65,17.58
11904,165.8,11,Common-Source Amplifier,1.6817,10.7,-0.0123,0.6368,0.6548,2.28,17.05
12032,167.6,10,Common-Source Amplifier,2.8295,12.0,-0.0034,0.5266,0.6553,2.30,14.47
12160,169.4,7,Common-Source Amplifier,0.9802,17.6,-0.0197,4.0031,0.6539,0.10,18.71
12288,171.1,9,Common-Source Amplifier,-0.5130,13.9,-0.0180,15.0624,0.6555,11.27,12.09
12416,173.0,7,Common-Source Amplifier,2.2103,17.7,-0.0177,1.1212,0.6515,6.82,17.89
12544,174.7,7,Common-Source Amplifier,1.9870,16.7,-0.0244,4.6734,0.6350,5.56,5.70
12672,176.5,12,Common-Source Amplifier,2.1809,10.0,-0.0069,0.3233,0.6375,4.60,17.74
12800,178.3,6,Common-Source Amplifier,-3.0612,19.7,-0.0195,23.7171,0.6199,0.18,22.65
12928,180.1,7,Common-Source Amplifier,2.2579,17.1,-0.0060,1.3744,0.6212,0.76,18.73
13056,181.9,10,Common-Source Amplifier,1.2249,12.8,-0.0307,4.2541,0.5786,3.41,16.41
13184,183.7,6,Common-Source Amplifier,-0.7710,17.8,0.0308,6.8849,0.5502,17.55,21.33
13312,185.6,13,Common-Source Amplifier,1.1519,9.5,-0.0165,6.8247,0.4933,2.43,15.68
13440,187.5,16,Common-Source Amplifier,1.9518,6.8,-0.0143,1.1807,0.4607,0.15,17.40
13568,189.5,14,Common-Source Amplifier,2.5131,8.9,-0.0104,0.5056,0.5276,0.85,15.57
13696,191.3,14,Common-Source Amplifier,2.1679,8.9,-0.0183,0.2876,0.6025,4.03,17.69
13824,193.2,9,Common-Source Amplifier,2.5849,13.7,-0.0035,0.8442,0.6120,0.30,14.35
13952,195.0,9,Common-Source Amplifier,2.5006,12.9,-0.0020,0.6629,0.6082,4.98,14.73
14080,196.8,11,Common-Source Amplifier,2.0042,10.7,-0.0328,0.5495,0.5813,4.37,17.72
14208,198.7,8,Common-Source Amplifier,2.9475,14.5,-0.0033,1.0256,0.6116,1.85,20.29
14336,200.4,5,Common-Source Amplifier,3.9499,23.4,-0.0034,0.5911,0.6308,4.74,17.23
14464,202.2,8,Common-Source Amplifier,2.7696,15.2,-0.0061,1.6959,0.6157,1.04,21.77
14592,204.0,5,Common-Source Amplifier,2.6734,25.0,-0.0074,1.1060,0.6044,0.89,21.92
14720,205.7,7,Common-Source Amplifier,2.5698,16.9,0.0003,0.4929,0.6191,10.10,12.01
14848,207.5,7,Common-Source Amplifier,3.5154,17.7,0.0001,0.5392,0.5992,3.20,16.86
14976,209.3,5,Common-Source Amplifier,2.0564,22.8,0.0042,0.7394,0.5901,9.26,22.47
15104,211.1,8,Common-Source Amplifier,2.7131,15.6,-0.0059,0.7666,0.5820,7.07,18.60
15232,212.8,6,Common-Source Amplifier,2.6537,21.2,-0.0076,2.1952,0.5655,17.23,10.71
15360,214.6,11,Common-Source Amplifier,2.8611,11.5,-0.0206,0.7083,0.5754,5.67,17.32
15488,216.4,6,Common-Source Amplifier,1.3729,18.0,-0.0099,1.7536,0.5635,6.15,14.86
15616,218.2,7,Common-Source Amplifier,3.2426,18.0,-0.0187,0.5802,0.5815,2.39,18.09
15744,220.0,6,Common-Source Amplifier,3.2886,20.3,-0.0170,0.5283,0.6001,6.43,19.69
15872,221.7,5,Common-Source Amplifier,2.1371,22.8,-0.0189,1.6903,0.5858,0.08,22.55
16000,223.6,5,Common-Source Amplifier,2.4187,22.0,-0.0048,1.2841,0.5730,4.58,24.27
16128,225.3,5,Common-Source Amplifier,2.5620,22.6,-0.0204,1.6034,0.5737,7.45,20.72
16256,227.1,9,Common-Source Amplifier,1.2709,13.6,-0.0203,0.8734,0.5555,6.87,14.87
16384,229.0,16,Common-Source Amplifier,1.8790,7.8,-0.0243,0.4719,0.5884,6.85,17.55
16512,230.8,7,Common-Source Amplifier,2.7683,17.0,-0.0045,0.5023,0.5724,4.55,19.31
16640,232.6,12,Common-Source Amplifier,2.2775,9.9,-0.0249,0.6713,0.5881,5.03,17.31
16768,234.4,5,Common-Source Amplifier,2.0939,24.0,-0.0082,3.8459,0.5538,7.25,27.96
16896,236.1,8,Common-Source Amplifier,3.2005,15.8,-0.0067,0.9485,0.5527,2.11,17.72
17024,237.9,10,Common-Source Amplifier,2.8220,12.3,-0.0362,0.7430,0.5771,4.47,17.73
17152,239.7,5,Common-Source Amplifier,4.0402,23.4,-0.0023,0.9757,0.5659,1.12,21.76
17280,241.5,7,Common-Source Amplifier,3.4482,17.7,-0.0253,0.4322,0.5766,4.72,17.74
17408,243.3,4,Common-Source Amplifier,2.0581,25.8,-0.0161,2.5300,0.5893,4.63,28.25
17536,245.1,5,Common-Source Amplifier,4.2996,24.4,-0.0047,0.9109,0.6019,4.79,23.15
17664,246.9,11,Common-Source Amplifier,2.5645,11.0,-0.0404,0.3998,0.6138,6.57,17.38
