timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy,pct_err_gain_db,pct_err_bandwidth
128,1.7,4,Common-Source Amplifier,-10.0250,29.5,-0.0341,11.8844,1.0866,25.01,21.53
256,3.5,4,Common-Source Amplifier,-2.3650,26.2,-0.0233,9.7375,1.0772,29.06,24.73
384,5.2,5,Common-Source Amplifier,-11.9615,22.0,-0.0013,88.7623,1.0686,19.80,33.87
512,7.0,5,Common-Source Amplifier,-1.3354,24.0,-0.0090,12.6875,1.0755,13.04,5.94
640,8.7,4,Common-Source Amplifier,-16.4642,30.0,-0.0031,99.8822,1.0622,33.26,3.52
768,10.4,4,Common-Source Amplifier,-39.3505,30.0,-0.0293,361.8697,1.0562,18.93,39.22
896,12.2,5,Common-Source Amplifier,-0.5750,25.6,0.0066,15.6326,1.0551,31.02,25.83
1024,13.8,4,Common-Source Amplifier,-9.2259,24.8,-0.0277,9.0338,1.0520,35.87,27.99
1152,15.6,5,Common-Source Amplifier,1.9474,22.2,0.0213,8.5534,1.0533,18.56,5.96
1280,17.3,4,Common-Source Amplifier,-0.0134,30.0,-0.0345,2.5162,1.0345,41.73,17.72
1408,19.0,4,Common-Source Amplifier,-1.1788,26.2,-0.0285,2.8158,1.0237,20.33,26.07
1536,20.7,5,Common-Source Amplifier,-12.5291,25.2,0.0402,92.3875,0.9969,34.53,91.76
1664,22.3,4,Common-Source Amplifier,-1.9137,26.8,-0.0032,8.8550,0.9649,30.12,3.10
1792,24.1,7,Common-Source Amplifier,-8.9749,17.7,-0.0099,92.7647,0.9649,43.01,141.03
1920,25.8,5,Common-Source Amplifier,-5.4075,24.8,-0.0224,22.3448,0.9839,35.84,185.85
2048,27.5,5,Common-Source Amplifier,-6.9125,24.6,-0.0113,26.0390,0.9596,20.81,13.60
2176,29.3,5,Common-Source Amplifier,-0.2561,19.8,-0.0188,6.0522,0.9416,19.20,6.65
2304,31.1,6,Common-Source Amplifier,-1.9650,17.7,-0.0128,11.9965,0.9552,34.30,38.91
2432,32.9,10,Common-Source Amplifier,-8.5500,12.6,-0.0122,129.2969,0.9555,3.06,14.04
2560,34.7,6,Common-Source Amplifier,-2.5120,20.2,-0.0271,30.8762,1.0146,24.57,38.85
2688,36.3,5,Common-Source Amplifier,2.3698,25.0,-0.0289,3.0047,1.0261,8.96,14.07
2816,38.1,6,Common-Source Amplifier,-21.6363,18.5,0.0426,516.5664,0.9608,26.61,194.04
2944,39.8,4,Common-Source Amplifier,-14.4430,25.2,-0.0405,63.9949,0.9386,22.01,26.19
3072,41.6,6,Common-Source Amplifier,-3.0165,20.3,-0.0014,18.4377,0.9718,25.03,26.13
3200,43.3,5,Common-Source Amplifier,-1.2224,23.2,0.0166,8.5621,0.9561,31.56,18.95
3328,45.0,5,Common-Source Amplifier,0.2362,22.2,0.0107,3.3526,0.9165,30.73,22.11
3456,46.8,9,Common-Source Amplifier,1.1932,11.2,-0.0044,28.6832,0.9388,0.84,15.52
3584,48.6,10,Common-Source Amplifier,-10.0328,12.0,0.0478,108.7172,0.8580,6.97,9.14
3712,50.2,4,Common-Source Amplifier,-3.0749,25.8,0.0009,15.8064,0.9030,49.06,9.14
3840,52.0,4,Common-Source Amplifier,-7.1786,30.0,-0.0164,6.3792,0.8597,79.81,46.69
3968,53.7,5,Common-Source Amplifier,-5.6714,21.0,-0.0131,8.5682,0.8692,32.69,29.49
4096,55.5,6,Common-Source Amplifier,-2.6148,18.3,-0.0319,10.7960,0.8410,31.63,19.52
4224,57.2,5,Common-Source Amplifier,-1.5398,25.4,-0.0226,3.9904,0.8038,37.71,8.66
4352,59.0,7,Common-Source Amplifier,-1.7160,16.4,-0.0136,4.3827,0.7543,24.84,0.77
4480,60.7,6,Common-Source Amplifier,-6.0670,19.5,0.0160,44.3345,0.6762,58.19,90.20
4608,62.5,7,Common-Source Amplifier,-2.4805,17.6,-0.0214,7.8067,0.7472,34.13,4.51
4736,64.2,6,Common-Source Amplifier,-7.1123,18.0,0.0059,27.8865,0.6686,57.71,63.68
4864,66.0,4,Common-Source Amplifier,-16.0891,30.0,-0.0076,47.6263,0.6857,121.36,292.36
4992,67.7,8,Common-Source Amplifier,-2.7345,15.0,0.0112,21.9880,0.7200,39.37,24.14
5120,69.7,9,Common-Source Amplifier,0.6448,13.8,0.0039,12.7737,0.7085,25.80,4.38
5248,71.7,10,Common-Source Amplifier,-0.9391,12.7,-0.0176,13.0070,0.6768,27.56,2.95
5376,73.8,10,Common-Source Amplifier,-0.7833,12.7,-0.0215,8.2631,0.6596,24.01,4.17
5504,75.7,9,Common-Source Amplifier,-2.0207,11.3,-0.0356,9.7578,0.5906,14.64,12.26
5632,77.6,20,Common-Source Amplifier,1.2437,5.5,0.0019,3.5289,0.5954,1.42,14.05
5760,79.4,9,Common-Source Amplifier,-5.2760,13.3,-0.0060,53.6864,0.5015,44.66,80.67
5888,81.3,13,Common-Source Amplifier,-2.7857,9.3,-0.0139,64.1628,0.5480,20.79,46.18
6016,83.1,12,Common-Source Amplifier,0.7523,10.0,-0.0072,8.7269,0.6341,7.94,11.35
6144,85.0,12,Common-Source Amplifier,-0.8419,10.2,-0.0239,12.5538,0.5773,10.55,15.70
6272,86.7,6,Common-Source Amplifier,0.0109,17.2,-0.0274,1.9923,0.6224,47.81,9.18
6400,88.4,9,Common-Source Amplifier,0.6414,11.1,-0.0233,2.1045,0.5923,16.15,6.22
6528,90.2,8,Common-Source Amplifier,0.2946,14.5,-0.0198,4.6941,0.6317,33.79,1.36
6656,92.0,10,Common-Source Amplifier,0.7778,12.5,-0.0251,3.3604,0.6731,16.27,14.06
6784,93.8,10,Common-Source Amplifier,0.5839,11.6,-0.0234,3.9518,0.6607,19.96,0.17
6912,95.7,13,Common-Source Amplifier,1.4914,9.5,-0.0228,1.5727,0.7258,12.09,13.52
7040,97.6,13,Common-Source Amplifier,0.5858,8.7,-0.0174,2.3059,0.7071,4.34,12.84
7168,99.5,11,Common-Source Amplifier,1.0944,9.9,-0.0433,1.1920,0.7859,9.27,8.98
7296,101.3,10,Common-Source Amplifier,0.2668,12.5,-0.0213,3.5237,0.7940,15.63,5.50
7424,103.1,15,Common-Source Amplifier,0.8031,8.5,-0.0183,4.4796,0.7166,7.16,14.99
7552,104.9,8,Common-Source Amplifier,-0.6279,15.9,-0.0191,6.8168,0.7176,23.05,3.56
7680,106.7,8,Common-Source Amplifier,1.0009,15.9,-0.0417,1.3990,0.7694,26.25,13.19
