timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,19.8,29,Common-Source Amplifier,0.0139,11.6,-0.0357,-1.0000,1.0886
2048,40.8,30,Common-Source Amplifier,0.4839,10.8,-0.0497,-1.0000,1.0702
3072,63.9,34,Common-Source Amplifier,1.2949,9.6,-0.0483,-1.0000,1.0287
4096,86.2,33,Common-Source Amplifier,1.7830,9.9,-0.0395,-1.0000,1.0135
5120,107.7,31,Common-Source Amplifier,0.3442,10.7,-0.0359,-1.0000,0.9752
6144,127.9,36,Common-Source Amplifier,2.3259,9.4,-0.0344,-1.0000,0.9511
7168,148.9,30,Common-Source Amplifier,1.4138,10.9,-0.0278,-1.0000,0.9508
8192,167.6,34,Common-Source Amplifier,1.8729,10.0,-0.0260,-1.0000,0.8967
9216,186.1,30,Common-Source Amplifier,1.3196,11.4,-0.0232,-1.0000,0.8592
10240,205.1,41,Common-Source Amplifier,4.0433,8.1,-0.0140,-1.0000,0.8357
11264,1010.8,41,Common-Source Amplifier,3.6488,8.3,-0.0132,-1.0000,0.8252
12288,1031.7,39,Common-Source Amplifier,3.7992,8.7,-0.0132,-1.0000,0.7822
13312,1050.0,33,Common-Source Amplifier,3.7293,10.2,-0.0095,-1.0000,0.7585
14336,1068.3,38,Common-Source Amplifier,3.7194,9.0,-0.0133,-1.0000,0.7401
15360,1086.8,44,Common-Source Amplifier,4.6385,7.7,-0.0135,-1.0000,0.7125
16384,1105.2,36,Common-Source Amplifier,3.4867,9.2,-0.0187,-1.0000,0.7140
17408,1123.5,29,Common-Source Amplifier,2.3416,11.5,-0.0102,-1.0000,0.7058
18432,1142.1,35,Common-Source Amplifier,2.9278,9.6,-0.0121,-1.0000,0.7073
19456,1160.6,33,Common-Source Amplifier,2.5756,10.2,-0.0069,-1.0000,0.7139
20480,1179.0,34,Common-Source Amplifier,3.4915,9.9,-0.0064,-1.0000,0.7079
21504,1194.5,34,Common-Source Amplifier,3.4117,9.8,-0.0134,-1.0000,0.6946
22528,1208.5,31,Common-Source Amplifier,3.2485,10.5,-0.0076,-1.0000,0.7071
23552,1222.6,41,Common-Source Amplifier,4.0778,8.0,-0.0126,-1.0000,0.6731
24576,1236.6,37,Common-Source Amplifier,4.3267,9.0,-0.0100,-1.0000,0.6878
25600,1250.7,44,Common-Source Amplifier,5.5263,7.5,-0.0082,-1.0000,0.6758
26624,1264.7,34,Common-Source Amplifier,3.4024,9.8,-0.0074,-1.0000,0.6574
27648,1278.7,37,Common-Source Amplifier,4.3702,9.0,-0.0089,-1.0000,0.6623
28672,1292.7,43,Common-Source Amplifier,3.9980,7.8,-0.0067,-1.0000,0.6506
29696,1306.8,32,Common-Source Amplifier,2.4808,10.4,-0.0079,-1.0000,0.6189
30720,1320.8,37,Common-Source Amplifier,4.3998,8.9,-0.0132,-1.0000,0.6313
31744,1334.9,43,Common-Source Amplifier,4.8989,7.8,-0.0138,-1.0000,0.6210
32768,1348.9,37,Common-Source Amplifier,4.5246,9.0,-0.0053,-1.0000,0.6099
33792,1362.9,29,Common-Source Amplifier,2.1921,11.5,-0.0097,-1.0000,0.6113
34816,1376.8,37,Common-Source Amplifier,3.6533,8.9,-0.0088,-1.0000,0.6117
35840,1390.8,30,Common-Source Amplifier,3.1334,11.2,-0.0114,-1.0000,0.6098
36864,1404.7,34,Common-Source Amplifier,2.9718,10.0,-0.0097,-1.0000,0.5733
37888,1418.9,45,Common-Source Amplifier,5.4652,7.5,-0.0175,-1.0000,0.6134
38912,1433.0,46,Common-Source Amplifier,4.3924,7.4,-0.0114,-1.0000,0.5721
39936,1447.2,35,Common-Source Amplifier,3.7872,9.5,-0.0088,-1.0000,0.5715
40960,1461.3,42,Common-Source Amplifier,5.1084,8.0,-0.0070,-1.0000,0.5635
41984,1475.5,38,Common-Source Amplifier,3.6765,8.9,-0.0055,-1.0000,0.5968
43008,1489.6,32,Common-Source Amplifier,2.7012,10.4,-0.0087,-1.0000,0.5657
44032,1503.5,33,Common-Source Amplifier,4.0366,10.3,-0.0054,-1.0000,0.5523
45056,1517.7,52,Common-Source Amplifier,5.7038,6.3,-0.0079,-1.0000,0.5405
46080,1531.8,42,Common-Source Amplifier,4.3772,8.1,-0.0069,-1.0000,0.5218
47104,1545.8,31,Common-Source Amplifier,2.5765,11.0,-0.0050,-1.0000,0.5172
48128,1559.7,39,Common-Source Amplifier,4.3992,8.7,-0.0102,-1.0000,0.5251
49152,1573.9,39,Common-Source Amplifier,4.1875,8.7,-0.0135,-1.0000,0.5174
50176,1587.9,36,Common-Source Amplifier,4.0013,9.1,-0.0093,-1.0000,0.5541
51200,1601.9,39,Common-Source Amplifier,4.3758,8.7,-0.0032,-1.0000,0.5821
52224,1616.0,34,Common-Source Amplifier,2.4001,9.6,-0.0102,-1.0000,0.5750
53248,1630.1,44,Common-Source Amplifier,4.7371,7.5,-0.0036,-1.0000,0.5833
54272,1644.1,32,Common-Source Amplifier,2.9935,10.6,-0.0118,-1.0000,0.5349
55296,2557.5,44,Common-Source Amplifier,4.9496,7.7,-0.0099,-1.0000,0.5626
56320,2573.2,46,Common-Source Amplifier,4.9729,7.2,-0.0086,-1.0000,0.5443
57344,2587.7,33,Common-Source Amplifier,3.2804,10.2,-0.0048,-1.0000,0.5378
