timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,11.7,37,Common-Source Amplifier,-7.0176,26.6,-0.0049,29.1348,1.0914
2048,23.8,28,Common-Source Amplifier,-14.9304,34.9,-0.0065,46.4697,1.0833
3072,36.1,39,Common-Source Amplifier,-25.6067,26.0,0.0033,788.2669,1.0837
4096,48.6,27,Common-Source Amplifier,-27.8513,36.7,-0.0107,318.6179,1.0801
5120,60.4,33,Common-Source Amplifier,-19.7522,30.4,-0.0010,229.7884,1.0774
6144,72.4,38,Common-Source Amplifier,-24.2653,26.1,-0.0083,474.0450,1.0761
7168,84.6,35,Common-Source Amplifier,-19.8222,28.7,0.0041,161.8708,1.0795
8192,97.3,41,Common-Source Amplifier,-10.5792,23.8,-0.0106,58.6061,1.0712
9216,109.5,38,Common-Source Amplifier,-4.7823,26.1,0.0020,14.8287,1.0700
10240,121.3,24,Common-Source Amplifier,-14.9381,40.7,-0.0047,24.2742,1.0472
11264,133.8,37,Common-Source Amplifier,-8.3181,27.6,-0.0097,24.4269,1.0424
12288,146.0,37,Common-Source Amplifier,-11.0219,27.1,-0.0029,102.6800,1.0416
13312,158.4,50,Common-Source Amplifier,-6.2964,20.3,-0.0006,33.6436,1.0179
14336,170.1,39,Common-Source Amplifier,-7.5520,25.9,-0.0066,30.2574,1.0151
15360,182.1,30,Common-Source Amplifier,-10.8100,32.5,0.0032,14.6402,0.9976
16384,194.2,40,Common-Source Amplifier,-11.7879,25.2,0.0188,133.7505,1.0118
17408,206.5,44,Common-Source Amplifier,-1.8517,22.8,0.0079,13.6503,1.0072
18432,219.1,34,Common-Source Amplifier,-6.4500,30.1,0.0072,9.2931,1.0001
19456,231.6,41,Common-Source Amplifier,-3.7708,24.9,0.0026,8.9616,0.9797
20480,244.0,38,Common-Source Amplifier,-11.1325,26.5,0.0032,36.0811,0.9765
21504,256.0,33,Common-Source Amplifier,-11.3732,29.9,-0.0002,37.7395,0.9776
22528,268.1,25,Common-Source Amplifier,-9.8366,40.2,0.0022,4.9624,0.9675
23552,280.0,35,Common-Source Amplifier,-8.3600,29.3,-0.0016,15.2084,0.9715
24576,292.1,39,Common-Source Amplifier,-8.3761,25.5,-0.0056,42.0761,0.9552
25600,304.4,38,Common-Source Amplifier,-27.8670,26.9,0.0069,2886.9996,0.9604
26624,316.4,37,Common-Source Amplifier,-28.7777,27.1,0.0036,4779.3135,0.9808
27648,328.2,40,Common-Source Amplifier,-3.6979,24.4,0.0128,30.2896,0.9829
28672,340.8,41,Common-Source Amplifier,-9.5154,24.9,0.0031,51.7898,0.9834
29696,352.5,38,Common-Source Amplifier,-3.6766,26.4,-0.0021,7.8687,0.9780
30720,364.5,39,Common-Source Amplifier,-4.6720,26.0,-0.0067,14.2811,0.9729
31744,376.1,39,Common-Source Amplifier,-2.0329,25.5,-0.0007,8.3047,0.9543
32768,387.9,42,Common-Source Amplifier,-14.0695,23.4,-0.0021,91.9780,0.9251
33792,399.9,37,Common-Source Amplifier,-11.5503,27.4,-0.0005,81.0843,0.9818
34816,411.6,33,Common-Source Amplifier,-10.5364,30.0,-0.0033,32.6084,0.9481
35840,423.7,41,Common-Source Amplifier,-45.3769,25.0,0.0433,2243.2610,0.9459
36864,436.2,33,Common-Source Amplifier,-10.8706,30.1,0.0342,31.9835,0.9305
37888,448.1,37,Common-Source Amplifier,-4.8120,26.5,0.0004,16.9410,0.9502
38912,460.2,33,Common-Source Amplifier,-19.7730,29.9,-0.0003,216.5355,0.9540
39936,473.5,39,Common-Source Amplifier,-6.2894,26.3,-0.0083,49.7652,0.9211
40960,487.0,39,Common-Source Amplifier,-3.1533,25.5,0.0007,9.2009,0.9570
41984,500.1,30,Common-Source Amplifier,-30.3575,32.6,0.0010,1228.7613,0.9599
43008,513.6,44,Common-Source Amplifier,-3.0821,23.1,-0.0021,16.4368,0.9480
44032,527.1,36,Common-Source Amplifier,-2.7601,27.8,0.0004,4.5456,0.9739
45056,541.1,41,Common-Source Amplifier,-9.5509,24.6,-0.0009,52.4216,0.9508
46080,554.9,45,Common-Source Amplifier,-3.5067,21.7,-0.0053,20.0342,0.9477
47104,568.2,33,Common-Source Amplifier,-5.3268,30.1,0.0018,4.3293,0.9449
48128,581.7,33,Common-Source Amplifier,-5.7374,29.9,-0.0098,3.8166,0.9132
49152,595.1,36,Common-Source Amplifier,-5.9296,27.1,-0.0089,4.0673,0.8831
50176,608.4,32,Common-Source Amplifier,-10.3777,31.4,-0.0004,26.8991,0.9096
51200,620.7,41,Common-Source Amplifier,-1.2554,23.8,0.0025,4.1903,0.9176
52224,633.4,47,Common-Source Amplifier,-4.1475,21.8,-0.0005,23.0295,0.9002
53248,646.8,32,Common-Source Amplifier,-9.4825,30.7,-0.0043,29.6319,0.8938
54272,660.1,42,Common-Source Amplifier,-8.2034,24.4,0.0195,134.1564,0.8779
55296,673.7,36,Common-Source Amplifier,-3.1168,27.3,0.0056,3.5180,0.8636
56320,687.2,54,Common-Source Amplifier,-1.9561,18.6,-0.0013,21.1955,0.8120
57344,700.6,36,Common-Source Amplifier,-6.3536,28.4,-0.0066,16.1903,0.8116
58368,713.5,47,Common-Source Amplifier,-1.5923,21.4,-0.0052,5.2122,0.8212
59392,726.0,49,Common-Source Amplifier,-0.9742,19.9,-0.0092,4.6388,0.7700
